,Pearson's Correlation Coefficient
HOXC11,0.911
ENSG00000277994,0.838
HOXC-AS3,0.829
HOXC10,0.819
ENSG00000275589,0.8
HOXC13,0.774
HOXC13-AS,0.759
HOXC-AS1,0.74
HOXC9,0.74
ENSG00000273049,0.732
HOXC-AS2,0.73
ENSG00000260597,0.72
HOXC6,0.719
ENSG00000274817,0.697
ENSG00000277129,0.695
HOXC8,0.69
ENSG00000273046,0.686
HOXC5,0.652
HOXA11,0.638
HOXC12,0.637
HOXA11-AS,0.618
HOXA13,0.579
ENSG00000253508,0.56
ENSG00000278334,0.556
TFAP2A,0.549
HOXC4,0.546
ENSG00000285278,0.545
HOXD11,0.538
HOXD8,0.537
HOXD10,0.534
PITX1,0.531
HOXB13,0.53
ENSG00000276496,0.527
ENSG00000278020,0.522
ENSG00000277966,0.52
HOXD9,0.52
SIX1,0.52
MCIDAS,0.518
HOXD-AS2,0.517
OSR2,0.513
DLX1,0.512
TFAP2A-AS1,0.508
ENSG00000273961,0.505
IRX5,0.505
HOXA6,0.503
ENSG00000283689,0.5
HOXA-AS3,0.5
ENSG00000278592,0.499
CCNO,0.491
KAZALD1,0.49
DUXAP8,0.487
HOXA10-AS,0.487
HOXA10,0.482
DLX2,0.482
SIX2,0.48
ENSG00000277559,0.472
SIM2,0.472
LNCOC1,0.471
ENSG00000248265,0.467
PITX2,0.467
LINC01116,0.467
ENSG00000206195,0.466
FOXD1,0.466
DLX2-DT,0.466
SHOX2,0.465
SIX4,0.464
FOXD1-AS1,0.463
DUXAP9,0.462
BMS1P22,0.461
IRX3,0.459
GPRC5A,0.459
MYPN,0.456
HOXD13,0.456
DLX3,0.456
LY6K,0.456
C1QL4,0.455
LINC01117,0.454
ENSG00000272872,0.454
LRRC8E,0.452
HCG15,0.451
STC2,0.451
ENSG00000244349,0.45
NKX3-2,0.449
BMS1P17,0.449
ENSG00000250899,0.448
GPX8,0.448
TEAD4,0.448
FOXC1,0.448
HOXA7,0.447
HOTTIP,0.447
ENSG00000214248,0.444
NBEAP5,0.444
TBX3,0.443
HOXB7,0.442
MSX1,0.442
LMX1B,0.44
ENSG00000244306,0.44
ENSG00000223652,0.44
HOXA5,0.44
ENSG00000277459,0.439
MSX2,0.439
DKK1,0.438
RAET1G,0.438
SERTAD4,0.438
PLAC1,0.438
MNX1-AS1,0.437
NBEAP3,0.437
HOXD3,0.436
KRT80,0.434
TFAP2C,0.434
LINC02593,0.432
CRNDE,0.432
MIR614,0.431
FOXF2-DT,0.43
TRIP13,0.43
NXNL2,0.428
ENSG00000271127,0.427
HOXB6,0.427
PAX9,0.426
NR2F2,0.425
EN1,0.425
SERTAD4-AS1,0.425
PBK,0.424
RAET1E-AS1,0.424
TBX2-AS1,0.424
NBEAP6,0.423
HOXD4,0.423
OSMR-DT,0.423
ENSG00000224842,0.418
KRT18P12,0.417
CCN5,0.417
DMBX1,0.417
PRC1,0.416
ENSG00000256013,0.415
CPA4,0.415
PTPN14,0.415
PACSIN3,0.414
PSG9,0.414
FOXCUT,0.413
ENSG00000278500,0.413
ENSG00000272801,0.413
PPIC-AS1,0.411
IQGAP3,0.409
HOXB9,0.409
COL12A1,0.408
HR,0.408
ENSG00000277619,0.407
EMP2,0.407
CCT5,0.406
ENSG00000274849,0.406
ENSG00000275322,0.404
LINC00857,0.404
FKBP10,0.404
AJUBA,0.404
LINC01836,0.403
KIF20A,0.403
LINC01703,0.403
P3H4,0.403
DLG5-AS1,0.402
LYPD6,0.402
VAX2,0.402
NXPH4,0.401
ENSG00000233589,0.401
FOXF2,0.401
DEPDC1,0.401
LINC02381,0.401
MOCOS,0.4
ENSG00000272702,0.4
THSD4,0.4
RAET1L,0.399
PPIC,0.399
RAET1E,0.398
YAP1,0.398
MNX1,0.398
CARD10,0.398
MIR6720,0.397
TPBG,0.397
ENSG00000254422,0.397
MIR924HG,0.396
GNG12,0.396
SYDE1,0.396
ENSG00000259523,0.396
CGB7,0.396
ENSG00000263105,0.396
PSG4,0.395
AURKA,0.395
SALRNA1,0.395
HOXD12,0.395
ENAH,0.394
ENSG00000273162,0.394
ENSG00000260430,0.393
TICRR,0.393
ENSG00000273186,0.393
ENSG00000257184,0.393
PADI3,0.393
PRAME,0.392
ULBP2,0.392
ENSG00000259275,0.392
TPX2,0.392
ENSG00000283663,0.391
KCNK15-AS1,0.391
PRKG1-AS1,0.391
KIF23,0.39
TENM3-AS1,0.39
TRIM16L,0.39
KCNIP3,0.39
PLCD3,0.389
DNAJC22,0.389
KCNK15,0.389
CDR2L,0.389
CEP55,0.389
FIBCD1,0.389
DNAAF3,0.389
KIF23-AS1,0.389
PSORS1C1,0.388
FAM242C,0.388
DNAAF3-AS1,0.387
EGFR,0.386
PLS3-AS1,0.386
PRDM6,0.386
ATP6V1B1,0.386
ENSG00000230699,0.386
ANLN,0.384
TSKU,0.384
HOXA3,0.384
ENSG00000261578,0.384
WNT7B,0.384
TEAD1,0.384
AMOTL2,0.384
CCT3,0.384
PITX3,0.383
DIAPH3,0.383
NKX2-8,0.382
TROAP,0.382
ENSG00000228470,0.382
SYT12,0.382
CAP2,0.381
ENSG00000277128,0.381
ALX4,0.381
TMC7,0.381
ENSG00000224271,0.381
TSPAN10,0.381
HOXA9,0.381
PRC1-AS1,0.381
RHBDF1,0.38
TBX2,0.38
LINC00592,0.38
TSKU-AS1,0.38
ENSG00000272639,0.38
PRRX2,0.38
DIAPH3-AS1,0.379
CCNB1,0.378
KRT16,0.378
ACTL8,0.378
WWTR1-AS1,0.378
FOXL2NB,0.377
LINC01391,0.377
HAGLR,0.377
HOXB8,0.377
KRT34,0.376
PICSAR,0.376
TEX36,0.376
CCN1,0.376
KIF2C,0.376
SEMA3F,0.376
LINC00518,0.376
CYP26B1,0.375
ENSG00000283251,0.375
KIF7,0.375
MPP3,0.375
MELK,0.375
ELDR,0.375
HSF2BP,0.375
ENSG00000277693,0.375
MET,0.374
CHST3,0.373
TMEM54,0.373
FOXM1,0.373
BIRC5,0.373
CBX2,0.373
CHRNA5,0.373
PYCR1,0.372
ARSJ,0.372
KRT83,0.372
MAGEA3,0.371
CDC20,0.371
CDSN,0.371
ECT2,0.371
NTF4,0.37
ANTXR1,0.37
FJX1,0.37
ULBP1,0.37
TEAD3,0.37
LINC02893,0.369
ENSG00000268592,0.369
ENSG00000273433,0.369
MAGEA6,0.369
MISP,0.369
KIF4A,0.369
ENSG00000272631,0.369
CDK1,0.368
EIF4G1,0.368
CRABP2,0.368
CDC20P1,0.368
CDC6,0.368
SCARA3,0.368
B4GALNT1,0.368
KDELR3,0.368
MIR6784,0.368
PIMREG,0.368
RHOV,0.368
RPL39P5,0.368
PTGES,0.368
SMUG1-AS1,0.367
FOXD3-AS1,0.367
FAM131C,0.366
CT62,0.366
TNFRSF12A,0.366
RACGAP1,0.366
TRIM29,0.366
SPATA17,0.366
MIR196B,0.366
FRMD6,0.366
UBE2T,0.366
KRT15,0.366
TPD52L1,0.366
PTPN3,0.365
SNAI2,0.365
C1GALT1C1L,0.365
UBE2C,0.365
TEX19,0.365
EGFR-AS1,0.365
KRT87P,0.365
LRIG3,0.365
LAMA3,0.364
DUSP9,0.364
MATN3,0.364
ENSG00000284946,0.364
KIF18B,0.364
KRT8P47,0.364
GTSE1,0.363
EXO1,0.363
DHCR24-DT,0.363
KRT81,0.363
FOXC2-AS1,0.363
KIF4B,0.362
EN2,0.362
TYRO3,0.362
GTF2IRD1,0.362
JPH2,0.362
RNA5SP18,0.362
PSCA,0.362
LARP6,0.362
PLEKHH3,0.362
GATA2-AS1,0.362
DLX4,0.362
S100A2,0.361
ERFE,0.361
